cashInLimit,totalCashOutTimes,totalCashInTimes,cashOutAmount,cashInAmount,amountRemain,date,time
20000,46,42,46448,39020,12572,2019-01-06,17:51
20000,44,25,44049,24196,147,2019-01-06,17:50
20000,41,27,45309,21230,-4079,2019-01-06,17:49
20000,2,28,2945,26280,43335,2019-01-06,17:48
20000,44,42,46306,43550,17244,2019-01-06,17:47
20000,35,24,38009,25701,7692,2019-01-06,17:46
20000,29,34,25681,32578,26897,2019-01-06,17:45
20000,32,25,36112,25568,9456,2019-01-06,17:44
20000,32,29,31069,26799,15730,2019-01-06,17:43
20000,31,44,30312,44063,33751,2019-01-06,17:42
20000,31,1,29523,119,-9404,2019-01-06,17:41
20000,1,13,1700,13464,31764,2019-01-06,17:40
20000,20,34,21800,36524,34724,2019-01-06,17:39
20000,16,49,15739,51170,55431,2019-01-06,17:38
20000,11,32,10201,31727,41526,2019-01-06,17:37
20000,0,22,0,19661,39661,2019-01-06,17:36
20000,47,40,45682,43024,17342,2019-01-06,17:35
20000,10,14,13149,12401,19252,2019-01-06,17:34
20000,12,5,12654,7434,14780,2019-01-06,17:33
20000,6,17,7688,16105,28417,2019-01-06,17:32
20000,32,31,37652,31135,13483,2019-01-06,17:31
20000,19,49,18636,49638,51002,2019-01-06,17:30
20000,8,27,5325,27265,41940,2019-01-06,17:29
20000,2,20,2269,19007,36738,2019-01-06,17:28
20000,26,36,28441,31147,22706,2019-01-06,17:27
20000,16,38,15462,31170,35708,2019-01-06,17:26
20000,3,37,4267,38477,54210,2019-01-06,17:25
20000,46,9,43720,7651,-16069,2019-01-06,17:24
20000,41,17,36113,17611,1498,2019-01-06,17:23
20000,11,14,12253,14093,21840,2019-01-06,17:22
20000,44,25,50912,31612,700,2019-01-06,17:21
20000,12,31,11199,33056,41857,2019-01-06,17:20
20000,7,48,4647,47688,63041,2019-01-06,17:19
20000,41,35,32625,37605,24980,2019-01-06,17:18
20000,1,16,1008,16755,35747,2019-01-06,17:17
20000,38,39,31599,45144,33545,2019-01-06,17:16
20000,49,2,48946,2328,-26618,2019-01-06,17:15
20000,46,16,49231,16042,-13189,2019-01-06,17:14
20000,29,46,30644,46149,35505,2019-01-06,17:13
20000,38,48,41017,44926,23909,2019-01-06,17:12
20000,30,3,24607,2913,-1694,2019-01-06,17:11
20000,18,32,18042,33438,35396,2019-01-06,17:10
20000,19,40,13472,38185,44713,2019-01-06,17:09
20000,29,1,27750,421,-7329,2019-01-06,17:08
20000,18,2,19296,2129,2833,2019-01-06,17:07
20000,9,0,10329,0,9671,2019-01-06,17:06
20000,31,0,25932,0,-5932,2019-01-06,17:05
20000,40,34,42663,33487,10824,2019-01-06,17:04
20000,19,8,21459,6504,5045,2019-01-06,17:03
20000,0,12,0,14138,34138,2019-01-06,17:02
20000,29,6,30442,7329,-3113,2019-01-06,17:01
20000,8,5,10789,5017,14228,2019-01-06,17:00
20000,13,28,18457,31378,32921,2019-01-06,16:59
20000,29,29,32883,32389,19506,2019-01-06,16:58
20000,47,3,46568,1714,-24854,2019-01-06,16:57
20000,38,19,41392,21507,115,2019-01-06,16:56
20000,32,6,36712,7094,-9618,2019-01-06,16:55
20000,12,18,11396,18722,27326,2019-01-06,16:54
20000,35,47,32786,49195,36409,2019-01-06,16:53
20000,32,29,26850,36364,29514,2019-01-06,16:52
20000,21,33,21070,31233,30163,2019-01-06,16:51
20000,11,20,12887,20193,27306,2019-01-06,16:50
20000,16,27,20362,32474,32112,2019-01-06,16:49
20000,8,35,7910,34735,46825,2019-01-06,16:48
20000,12,14,10812,13828,23016,2019-01-06,16:47
20000,49,23,51310,22643,-8667,2019-01-06,16:46
20000,18,38,22173,42183,40010,2019-01-06,16:45
20000,39,29,37952,31270,13318,2019-01-06,16:44
20000,47,48,51792,58060,26268,2019-01-06,16:43
20000,33,45,35166,51067,35901,2019-01-06,16:42
20000,44,8,33596,9817,-3779,2019-01-06,16:41
20000,25,28,31228,22816,11588,2019-01-06,16:40
20000,19,19,19734,20023,20289,2019-01-06,16:39
20000,21,8,20175,8247,8072,2019-01-06,16:38
20000,47,47,47306,40849,13543,2019-01-06,16:37
20000,44,9,45135,7287,-17848,2019-01-06,16:36
20000,24,6,23822,4898,1076,2019-01-06,16:35
20000,17,7,17860,7381,9521,2019-01-06,16:34
20000,31,9,30923,9755,-1168,2019-01-06,16:33
20000,35,0,35695,0,-15695,2019-01-06,16:32
20000,9,1,12287,1607,9320,2019-01-06,16:31
20000,26,3,23235,3297,62,2019-01-06,16:30
20000,14,8,16597,6049,9452,2019-01-06,16:29
20000,41,0,40777,0,-20777,2019-01-06,16:28
20000,48,10,39749,13250,-6499,2019-01-06,16:27
20000,30,3,27743,2873,-4870,2019-01-06,16:26
20000,39,14,38890,14245,-4645,2019-01-06,16:25
20000,45,18,42907,14432,-8475,2019-01-06,16:24
20000,24,37,24337,37412,33075,2019-01-06,16:23
20000,24,1,25884,1907,-3977,2019-01-06,16:22
20000,26,31,25776,29631,23855,2019-01-06,16:21
20000,18,19,22726,18373,15647,2019-01-06,16:20
20000,33,43,31762,41859,30097,2019-01-06,16:19
20000,35,16,38180,14141,-4039,2019-01-06,16:18
